Varenr;Varenavn;Utpris ink.mva;Kjøpspris;Kjøpslistepris;Saldo;Varegr.1;Varegr.2;Varegr.3;Pakningsantall;Posteringsgruppe;Sist oppdatert;Leverandør;Lev. varenr;Saldo;Bruk frg/str
554633;Åsnes  Amundsen M. Fellelås;3199,00;1218,000;1218,00;0,000;6;18;49;0;4;11.01.15 15:59:02;21;540154;0,000;True
696580;Norrøna  falketind Gore-Tex Pants (M);3299,00;1499,500;1499,50;2,000;2;3;11;0;4;05.03.15 14:05:15;3;3311-14;2,000;True
561116;Norrøna  falketind dri3 Pants (M);2299,00;1149,500;1149,50;2,00;2;8;11;0;4;30.01.15 20:48:13;3;3301-11;2,00;True
696579;Norrøna  falketind Gore-Tex Pants (M);3299,00;1499,500;1499,50;0,000;2;3;11;0;4;05.03.15 14:04:31;3;3311-14;0,000;True
696581;Norrøna  falketind Gore-Tex Pants(M);3299,00;1499,500;1499,50;5,00;2;3;11;0;4;05.03.15 14:08:16;3;3311-14;5,00;True
506788;Åsnes  HOLMENKOLLEN W SKIN LOCK;2799,00;1399,000;1399,00;-1,000;6;18;50;0;4;29.01.15 16:52:24;15;540240;-1,000;True
696578;Norrøna  falketind Gore-Tex Pants (M);3299,00;1499,500;1499,50;1,000;2;3;11;0;4;05.03.15 14:04:16;3;3311-14;1,000;True
696592;Norrøna  falketind flex1 Pants (M);1549,00;594,575;699,50;6,000;2;3;11;0;4;05.03.15 14:57:27;3;3321-14;6,000;True
807599;Norrøna  falketind Windstopper hybrid J;2799,00;1299,500;1299,50;3,000;2;3;14;0;4;05.03.15 14:35:09;3;3414-15;3,000;True
506766;Åsnes  NANSEN M FELLELÅS;3599,00;1400,000;1799,00;1,000;6;18;49;0;4;25.02.15 18:35:51;15;540188;1,000;True
506761;Åsnes  CECILIE FJELLSKI M. FELLELÅS;3599,00;1400,000;1799,00;0,000;6;18;49;0;4;18.02.15 13:53:29;15;540161;0,000;True
506767;Åsnes  INGSTAD M. FELLELÅS;3699,00;1439,000;1849,00;2,000;6;18;49;0;4;21.01.15 15:46:51;15;540189;2,000;True
696621;Norrøna  falketind PrimaLoft60 Jacket (;1999,00;999,500;999,50;1,000;2;8;16;0;4;30.01.15 20:20:52;3;3340-14;1,000;True
696620;Norrøna  falketind PrimaLoft60 Jacket (;1999,00;999,500;999,50;1,00;2;8;16;0;4;30.01.15 20:47:56;3;3340-14;1,00;True
807578;Norrøna  falketind PrimaLoft60 Jacket (;1999,00;999,500;999,50;1,00;2;8;16;0;4;30.01.15 20:26:14;3;3340-14;1,00;True
306640;The North Face  Etip Glove;399,00;200,000;200,00;23,000;2;2;51;0;4;22.02.15 14:12:57;9;AJWV;23,000;True
516416;Norrøna  /29 warm4 up-cycled Jacket (M);1999,00;999,500;999,50;0,000;2;13;52;0;4;30.01.15 21:11:39;3;1036-12;0,000;True
696599;Norrøna  falketind warm1 Jkt (M);1199,00;549,500;549,50;2,000;2;3;22;0;4;05.03.15 14:32:15;3;3330-14;2,000;True
500418;Swix  Mountain, reinforced premium alu;749,00;240,000;374,50;1,000;6;19;53;0;4;25.03.15 11:36:55;13;MT202-00;1,000;True
696600;Norrøna  falketind warm1 Jacket (M);1199,00;549,500;549,50;1,000;2;3;22;0;4;05.03.15 14:14:32;3;3330-14;1,000;True
160213;Fischer  Mountain Stav;699,00;246,000;246,00;2,00;6;19;53;0;4;11.01.15 15:59:02;22;Z45310;2,00;True
